case_id,phase_imbalance_pct,clearance_violations,thermal_violations,format_lint_errors,doc_lint_pass,doc_lint_quality_score,evidence_pairs,missing_pairs,overall_success
01,3.9,0,0,0,True,100,6,1,True
02,3.9,0,0,0,True,100,6,1,True
03,3.9,0,0,0,True,100,6,1,True
04,3.9,0,0,0,True,100,6,1,True
05,3.9,0,0,0,True,100,6,1,True
06,3.9,0,0,0,True,100,6,1,True
07,3.9,0,0,0,True,100,6,1,True
08,3.9,0,0,0,True,100,6,1,True
09,3.9,0,0,0,True,100,6,1,True
10,3.0,0,0,0,True,100,6,1,True
11,3.9,0,0,0,True,100,6,1,True
12,3.9,0,0,0,True,100,6,1,True
13,3.9,0,0,0,True,100,6,1,True
14,3.9,0,0,0,True,100,6,1,True
15,3.9,0,0,0,True,100,6,1,True
16,3.9,0,0,0,True,100,6,1,True
17,3.9,0,0,0,True,100,6,1,True
18,3.9,0,0,0,True,100,6,1,True
19,3.9,0,0,0,True,100,6,1,True
20,3.9,0,0,0,True,100,6,1,True
